County,Gini
UNION,0.024976554
GULF,0.094364555
SUWANNEE,0.105889692
HARDEE,0.10834365
FRANKLIN,0.115382635
CALHOUN,0.119727366
MADISON,0.124631125
DIXIE,0.133050071
LEVY,0.140740494
PUTNAM,0.145753052
JEFFERSON,0.16045955
GADSDEN,0.161400567
WAKULLA,0.162466086
CITRUS,0.167406632
GILCHRIST,0.169382964
JACKSON,0.180865235
TAYLOR,0.194716187
COLUMBIA,0.196100948
HIGHLANDS,0.196324532
BAKER,0.196638358
HOLMES,0.19704078
OKALOOSA,0.211561781
HAMILTON,0.214546356
FLAGLER,0.215053295
LAFAYETTE,0.218881857
OKEECHOBEE,0.219782143
HERNANDO,0.221385017
BRADFORD,0.222371193
CHARLOTTE,0.228638851
NASSAU,0.229256797
MARION,0.233508644
SANTA ROSA,0.237982964
DE SOTO,0.241819917
BAY,0.248559044
HENDRY,0.253104906
WASHINGTON,0.256240581
ST LUCIE,0.258209703
BREVARD,0.258830923
VOLUSIA,0.259291641
GLADES,0.266171135
INDIAN RIVER,0.277889137
SARASOTA,0.280645145
POLK,0.280785853
WALTON,0.28143497
ESCAMBIA,0.296387454
COLLIER,0.296865857
MANATEE,0.305387625
PASCO,0.305502599
LAKE,0.307733183
SUMTER,0.309490953
CLAY,0.310446892
PINELLAS,0.31080853
OSCEOLA,0.315076256
MARTIN,0.326584356
DUVAL,0.330347818
SEMINOLE,0.330578017
LEE,0.332294599
MONROE,0.343343575
ST JOHNS,0.346636919
MIAMI-DADE,0.349580579
ALACHUA,0.358010463
ORANGE,0.358799197
LIBERTY,0.361901682
BROWARD,0.377589558
HILLSBOROUGH,0.386304864
PALM BEACH,0.419738377
LEON,0.4221023
