"","County","Gini"
"1","ALACHUA",0.319116798920528
"2","BAKER",0.0844192406692406
"3","BAY",0.207018571428888
"4","BRADFORD",0.143673859714773
"5","BREVARD",0.157277243956578
"6","BROWARD",0.29491894009247
"7","CALHOUN",0.0767793743968411
"8","CHARLOTTE",0.124411631787527
"9","CITRUS",0.0938882899080883
"10","CLAY",0.171894683576206
"11","COLLIER",0.25082821686329
"12","COLUMBIA",0.115980450754098
"13","DE SOTO",0.198559854398988
"14","DIXIE",0.174562495423592
"15","DUVAL",0.179883296112355
"16","ESCAMBIA",0.168592200817778
"17","FLAGLER",0.144349952736524
"18","FRANKLIN",0.085460486011844
"19","GADSDEN",0.170905460632756
"20","GILCHRIST",0.164482313114298
"21","GLADES",0.191414031936746
"22","GULF",0.14915206381139
"23","HAMILTON",0.198011507334345
"24","HARDEE",0.0904176579434313
"25","HENDRY",0.102531945276834
"26","HERNANDO",0.182633779419413
"27","HIGHLANDS",0.127492642354447
"28","HILLSBOROUGH",0.284640496425817
"29","HOLMES",0.0946967433522559
"30","INDIAN RIVER",0.218345895712391
"31","JACKSON",0.160217982988917
"32","JEFFERSON",0.153237858564121
"33","LAFAYETTE",0.190117148554337
"34","LAKE",0.242081394166593
"35","LEE",0.269527823660555
"36","LEON",0.268909311331905
"37","LEVY",0.131813413730625
"38","LIBERTY",0.0773203169213355
"39","MADISON",0.122693834836406
"40","MANATEE",0.218016441139022
"41","MARION",0.230904475053583
"42","MARTIN",0.195648441545177
"43","MIAMI-DADE",0.215756740202621
"44","MONROE",0.218015822564076
"45","NASSAU",0.146143692442029
"46","OKALOOSA",0.177444166943468
"47","OKEECHOBEE",0.202285939877871
"48","ORANGE",0.259845481479981
"49","OSCEOLA",0.232903271948868
"50","PALM BEACH",0.324702550263012
"51","PASCO",0.239653983590949
"52","PINELLAS",0.195667125137572
"53","POLK",0.195896687455665
"54","PUTNAM",0.125654326559583
"55","SANTA ROSA",0.118937982763331
"56","SARASOTA",0.173206270663997
"57","SEMINOLE",0.19351543034883
"58","ST JOHNS",0.206753120926661
"59","ST LUCIE",0.216823270965331
"60","SUMTER",0.300359098831932
"61","SUWANNEE",0.100359501907502
"62","TAYLOR",0.0862762628520339
"63","UNION",0.419803787360255
"64","VOLUSIA",0.176526903225261
"65","WAKULLA",0.148685804828036
"66","WALTON",0.105714745800305
"67","WASHINGTON",0.182724432429254
